epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,88.6947,0.43262,0.83072,1.01353,0.85846,0.89501,0.93586,0.84539,0.42706,1.39454,0.96602,0.0008045,0.0008045,0.0008045
20,93.085,0.36678,0.83486,0.96546,0.76561,0.86771,0.86614,0.83018,0.32223,1.31693,0.90526,0.00077975,0.00077975,0.00077975
21,98.2098,0.38189,0.77097,0.97141,0.81648,0.88739,0.92936,0.88911,0.29819,1.21306,0.87492,0.000755,0.000755,0.000755
22,102.582,0.37648,0.7944,0.96133,0.85629,0.92429,0.95715,0.91751,0.31722,1.0521,0.88814,0.00073025,0.00073025,0.00073025
23,106.794,0.37174,0.7675,0.9624,0.70343,0.87525,0.8725,0.83676,0.31039,1.4133,0.88861,0.0007055,0.0007055,0.0007055
24,112.109,0.34738,0.7085,0.94932,0.82396,0.92702,0.96874,0.94609,0.28997,1.0924,0.86296,0.00068075,0.00068075,0.00068075
25,116.542,0.40023,0.73618,0.99652,0.90595,0.86354,0.97558,0.95097,0.28469,1.02399,0.86236,0.000656,0.000656,0.000656
26,120.718,0.36199,0.67337,0.96745,0.92384,0.86741,0.97797,0.9553,0.28652,0.97661,0.86408,0.00063125,0.00063125,0.00063125
27,125.917,0.37771,0.64855,0.97096,0.91711,0.9064,0.97914,0.96233,0.28599,0.96324,0.86308,0.0006065,0.0006065,0.0006065
28,130.234,0.35472,0.62535,0.95949,0.88695,0.894,0.95216,0.92744,0.30285,0.99902,0.88232,0.00058175,0.00058175,0.00058175
29,134.375,0.38353,0.63555,0.97907,0.9135,0.89399,0.95177,0.92229,0.28646,0.93082,0.8773,0.000557,0.000557,0.000557
30,139.306,0.35161,0.57766,0.95826,0.91871,0.92704,0.98111,0.95146,0.33553,0.84665,0.91809,0.00053225,0.00053225,0.00053225
31,143.682,0.32394,0.54419,0.94446,0.92779,0.81586,0.96695,0.94811,0.27975,0.93084,0.85977,0.0005075,0.0005075,0.0005075
32,147.843,0.32749,0.55667,0.94578,0.90428,0.89688,0.96861,0.9393,0.30728,0.91094,0.87915,0.00048275,0.00048275,0.00048275
33,152.985,0.35518,0.5592,0.95188,0.92586,0.97587,0.98686,0.9693,0.28989,0.75447,0.86358,0.000458,0.000458,0.000458
34,157.169,0.3529,0.53836,0.95151,0.9573,0.95411,0.99146,0.97868,0.26478,0.7057,0.84337,0.00043325,0.00043325,0.00043325
35,161.685,0.31565,0.5569,0.93118,0.92212,0.91259,0.97641,0.96754,0.24962,0.73749,0.83939,0.0004085,0.0004085,0.0004085
36,166.528,0.31223,0.49698,0.92937,0.87835,0.93584,0.9848,0.97353,0.25273,0.80112,0.84087,0.00038375,0.00038375,0.00038375
37,171.011,0.31987,0.52243,0.93376,0.8825,0.92154,0.98544,0.97726,0.2529,0.79233,0.84691,0.000359,0.000359,0.000359
38,175.386,0.3167,0.48972,0.94895,0.936,0.88974,0.98046,0.97084,0.23903,0.69061,0.83527,0.00033425,0.00033425,0.00033425
39,180.522,0.30975,0.48592,0.94106,0.92173,0.93838,0.97243,0.95808,0.25914,0.69891,0.84614,0.0003095,0.0003095,0.0003095
40,184.662,0.29833,0.49051,0.92994,0.94216,0.86601,0.96686,0.94929,0.25773,0.72779,0.84596,0.00028475,0.00028475,0.00028475
41,192.243,0.24416,0.70557,0.87611,0.94625,0.85211,0.95984,0.92604,0.28488,1.06313,0.86116,0.00026,0.00026,0.00026
42,196.671,0.23217,0.68564,0.86304,0.90295,0.86839,0.93732,0.92059,0.26453,1.02304,0.84555,0.00023525,0.00023525,0.00023525
43,200.941,0.22912,0.56922,0.85745,0.86281,0.89217,0.96648,0.95924,0.24508,0.88924,0.83272,0.0002105,0.0002105,0.0002105
44,205.85,0.22201,0.54957,0.86808,0.89243,0.92359,0.97938,0.96403,0.24869,0.78696,0.83576,0.00018575,0.00018575,0.00018575
45,210.099,0.22133,0.5909,0.87123,0.96379,0.88913,0.98775,0.97306,0.24512,0.70842,0.83229,0.000161,0.000161,0.000161
46,214.304,0.22268,0.58624,0.86365,0.98851,0.89143,0.99157,0.98262,0.22595,0.58787,0.81775,0.00013625,0.00013625,0.00013625
47,218.992,0.21865,0.54765,0.86039,0.9591,0.96915,0.99157,0.98748,0.21919,0.53194,0.81341,0.0001115,0.0001115,0.0001115
48,223.54,0.21331,0.50434,0.8411,0.93345,0.97945,0.98969,0.98357,0.21932,0.54215,0.81149,8.675e-05,8.675e-05,8.675e-05
49,227.353,0.20698,0.50348,0.83139,0.93105,0.9878,0.99063,0.98248,0.21884,0.5418,0.81303,6.2e-05,6.2e-05,6.2e-05
50,231.58,0.21426,0.49779,0.84573,0.96919,0.94801,0.99063,0.98679,0.21438,0.53763,0.81158,3.725e-05,3.725e-05,3.725e-05
