epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.6781,0.73743,3.14381,1.31386,0.0035,1,0.34137,0.24708,0.43753,3.56302,1.04229,0.000384615,0.000384615,0.000384615
2,10.4582,0.56261,2.23092,1.13872,0.81205,0.1875,0.39867,0.33218,0.48319,3.12412,1.06818,0.000785417,0.000785417,0.000785417
3,15.8974,0.51981,1.87258,1.10293,0.46346,0.53438,0.42041,0.32635,0.59706,3.25157,1.22785,0.00116972,0.00116972,0.00116972
4,19.9906,0.53363,1.7685,1.07938,0.36751,0.76379,0.47901,0.40238,0.48115,4.44646,1.14442,0.00117575,0.00117575,0.00117575
5,24.2299,0.51103,1.5994,1.08761,0.43148,0.85,0.54347,0.45997,0.6104,2.89566,1.26733,0.001151,0.001151,0.001151
6,29.6337,0.5078,1.47059,1.05917,0.70054,0.58646,0.64412,0.5582,0.60876,2.23501,1.25249,0.00112625,0.00112625,0.00112625
7,34.2903,0.45913,1.34747,1.01237,0.55453,0.75146,0.82405,0.64599,0.7694,2.54647,1.38016,0.0011015,0.0011015,0.0011015
8,38.6983,0.48556,1.28284,1.04544,0.49426,0.71989,0.669,0.6025,0.41212,2.23153,0.99754,0.00107675,0.00107675,0.00107675
9,43.6731,0.43236,1.11861,1.00267,0.9124,0.32834,0.63627,0.5269,0.49689,2.64145,1.04382,0.001052,0.001052,0.001052
10,47.6423,0.4615,1.14856,1.00354,0.4793,0.64524,0.64537,0.58846,0.44241,2.62032,1.01764,0.00102725,0.00102725,0.00102725
11,52.3513,0.42359,1.12375,1.00764,0.59512,0.68274,0.59444,0.54632,0.4403,2.54383,1.02522,0.0010025,0.0010025,0.0010025
12,57.5953,0.42925,1.04046,0.99653,0.6668,0.87004,0.85653,0.79416,0.4047,1.66204,0.98004,0.00097775,0.00097775,0.00097775
13,61.6414,0.42543,1.03344,0.99311,0.48503,0.85587,0.70897,0.59575,0.51895,2.32624,1.06259,0.000953,0.000953,0.000953
14,65.4768,0.42779,1.01895,0.99014,0.84123,0.66247,0.78709,0.70665,0.43024,1.77703,1.01982,0.00092825,0.00092825,0.00092825
15,71.0438,0.40823,1.00438,0.98701,0.57985,0.87571,0.8397,0.77982,0.37157,1.52651,0.94106,0.0009035,0.0009035,0.0009035
16,75.364,0.40907,0.8788,0.98486,0.58544,0.84887,0.79857,0.73104,0.37854,1.66136,0.95564,0.00087875,0.00087875,0.00087875
17,79.5208,0.41028,0.89509,0.97808,0.79867,0.90117,0.95119,0.91028,0.32883,1.29099,0.89678,0.000854,0.000854,0.000854
18,84.5775,0.39894,0.86512,0.99109,0.75939,0.95148,0.95318,0.90882,0.33971,1.39556,0.92368,0.00082925,0.00082925,0.00082925
